surface_t0,surface_t1,loss_percentage,image,Verdict
232629,270391,-16.232713892077083,val_1.png,Succession Écologique (Régénération)
121805,303669,-149.30749969213088,val_12.png,Succession Écologique (Régénération)
139993,294725,-110.52838356203524,val_15.png,Succession Écologique (Régénération)
199944,288144,-44.112351458408355,val_18.png,Succession Écologique (Régénération)
548889,240352,56.211182953201835,val_22.png,Rupture d'Intégrité (Critique)
431218,190788,55.75602131636435,val_27.png,Rupture d'Intégrité (Critique)
236203,238204,-0.8471526610584963,val_3.png,Résilience Écosystémique (Stable)
264042,344322,-30.404253868702707,val_30.png,Succession Écologique (Régénération)
204720,231379,-13.022176631496679,val_35.png,Résilience Écosystémique (Stable)
227579,237158,-4.209087833235931,val_40.png,Résilience Écosystémique (Stable)
280371,224634,19.87973078528093,val_5.png,Anthropisation Avérée
289227,346886,-19.935552351613094,val_8.png,Succession Écologique (Régénération)
